url,tld,country,continent,virustotal,google_safebrowsing,abuseipdb,url_path_analysis,overall_status
kooora.live-kooora.com,Global,Global,No specific continent,"{'url': 'kooora.live-kooora.com', 'positives': 0, 'total_scans': 96, 'scan_date': '2024-12-18 12:15:17', 'categories': 'N/A'}","{'url': 'kooora.live-kooora.com', 'status': 'No threats found'}","{'ip': '185.16.39.38', 'country': 'Poland', 'continent': 'Unknown', 'abuse_confidence_score': 0, 'total_reports': 0, 'last_reported_at': None}",No suspicious patterns detected,Safe
malicious-site.vn,VN,Vietnam,Asia,"{'url': 'malicious-site.vn', 'status': 'Not found in VirusTotal'}","{'url': 'malicious-site.vn', 'status': 'No threats found'}","{'error': 'Unable to resolve IP', 'details': 'URL: malicious-site.vn'}",No suspicious patterns detected,Inconclusive
safe-site.jp,JP,Japan,Asia,"{'url': 'safe-site.jp', 'status': 'Not found in VirusTotal'}","{'url': 'safe-site.jp', 'status': 'No threats found'}","{'error': 'Unable to resolve IP', 'details': 'URL: safe-site.jp'}",No suspicious patterns detected,Inconclusive
bbc.co.uk,UK,United Kingdom,Europe,"{'url': 'bbc.co.uk', 'positives': 0, 'total_scans': 96, 'scan_date': '2025-01-22 09:40:24', 'categories': 'N/A'}","{'url': 'bbc.co.uk', 'status': 'No threats found'}","{'ip': '151.101.192.81', 'country': 'United States', 'continent': 'Unknown', 'abuse_confidence_score': 0, 'total_reports': 0, 'last_reported_at': '2023-03-08T17:15:03+00:00'}",No suspicious patterns detected,Safe
gov.za,ZA,South Africa,Africa,"{'error': 'Connection error', 'details': 'Status code: 204'}","{'url': 'gov.za', 'status': 'No threats found'}","{'ip': '163.195.1.225', 'country': 'South Africa', 'continent': 'Unknown', 'abuse_confidence_score': 0, 'total_reports': 0, 'last_reported_at': '2024-02-26T13:33:58+00:00'}",No suspicious patterns detected,Inconclusive
google.de,DE,Germany,Europe,"{'error': 'Connection error', 'details': 'Status code: 204'}","{'url': 'google.de', 'status': 'No threats found'}","{'ip': '216.58.209.195', 'country': 'Hungary', 'continent': 'Unknown', 'abuse_confidence_score': 1, 'total_reports': 1, 'last_reported_at': '2024-12-18T16:52:25+00:00'}",No suspicious patterns detected,Inconclusive
